Extracting MNIST_data/train-images-idx3-ubyte.gz
Extracting MNIST_data/train-labels-idx1-ubyte.gz
Extracting MNIST_data/t10k-images-idx3-ubyte.gz
Extracting MNIST_data/t10k-labels-idx1-ubyte.gz
Nodes keep percentage is :  1.0
** Start training **
Epoch #0 cost=0.042872
Epoch #1 cost=0.037402
Epoch #2 cost=0.033187
Epoch #3 cost=0.028441
Epoch #4 cost=0.024535
Epoch #5 cost=0.023271
Epoch #6 cost=0.022533
Epoch #7 cost=0.021879
Epoch #8 cost=0.021378
Epoch #9 cost=0.021133
Epoch #10 cost=0.020910
Epoch #11 cost=0.020717
Epoch #12 cost=0.020525
Epoch #13 cost=0.020296
Epoch #14 cost=0.020101
Epoch #15 cost=0.019904
Epoch #16 cost=0.019707
Epoch #17 cost=0.019556
Epoch #18 cost=0.019319
Epoch #19 cost=0.019212
Epoch #20 cost=0.018991
Epoch #21 cost=0.018888
Epoch #22 cost=0.018633
Epoch #23 cost=0.018600
Epoch #24 cost=0.018302
Epoch #25 cost=0.018295
Epoch #26 cost=0.018026
Epoch #27 cost=0.018044
Epoch #28 cost=0.017732
Epoch #29 cost=0.017777
Epoch #30 cost=0.017548
Epoch #31 cost=0.017687
Epoch #32 cost=0.017392
Epoch #33 cost=0.017582
Epoch #34 cost=0.017197
Epoch #35 cost=0.017387
Epoch #36 cost=0.016981
Epoch #37 cost=0.017197
Epoch #38 cost=0.016804
Epoch #39 cost=0.017012
Epoch #40 cost=0.016569
Epoch #41 cost=0.016755
Epoch #42 cost=0.016371
Epoch #43 cost=0.016499
Epoch #44 cost=0.016240
Epoch #45 cost=0.016426
Epoch #46 cost=0.016169
Epoch #47 cost=0.016338
Epoch #48 cost=0.016083
Epoch #49 cost=0.016293
** Start training **
Epoch #0 cost=0.041514
Epoch #1 cost=0.034480
Epoch #2 cost=0.028916
Epoch #3 cost=0.025665
Epoch #4 cost=0.024533
Epoch #5 cost=0.023744
Epoch #6 cost=0.022977
Epoch #7 cost=0.022264
Epoch #8 cost=0.021780
Epoch #9 cost=0.021492
Epoch #10 cost=0.021291
Epoch #11 cost=0.021106
Epoch #12 cost=0.020921
Epoch #13 cost=0.020687
Epoch #14 cost=0.020500
Epoch #15 cost=0.020291
Epoch #16 cost=0.020106
Epoch #17 cost=0.019918
Epoch #18 cost=0.019716
Epoch #19 cost=0.019521
Epoch #20 cost=0.019343
Epoch #21 cost=0.019131
Epoch #22 cost=0.018958
Epoch #23 cost=0.018750
Epoch #24 cost=0.018605
Epoch #25 cost=0.018399
Epoch #26 cost=0.018241
Epoch #27 cost=0.018073
Epoch #28 cost=0.017952
Epoch #29 cost=0.017761
Epoch #30 cost=0.017734
Epoch #31 cost=0.017483
Epoch #32 cost=0.017543
Epoch #33 cost=0.017360
Epoch #34 cost=0.017449
Epoch #35 cost=0.017314
Epoch #36 cost=0.017403
Epoch #37 cost=0.017222
Epoch #38 cost=0.017352
Epoch #39 cost=0.017161
Epoch #40 cost=0.017279
Epoch #41 cost=0.016978
Epoch #42 cost=0.017126
Epoch #43 cost=0.016812
Epoch #44 cost=0.016960
Epoch #45 cost=0.016565
Epoch #46 cost=0.016651
Epoch #47 cost=0.016390
Epoch #48 cost=0.016491
Epoch #49 cost=0.016282
** Start training **
Epoch #0 cost=0.041201
Epoch #1 cost=0.034919
Epoch #2 cost=0.029418
Epoch #3 cost=0.025489
Epoch #4 cost=0.024501
Epoch #5 cost=0.023574
Epoch #6 cost=0.022824
Epoch #7 cost=0.022195
Epoch #8 cost=0.021795
Epoch #9 cost=0.021540
Epoch #10 cost=0.021291
Epoch #11 cost=0.021124
Epoch #12 cost=0.020935
Epoch #13 cost=0.020747
Epoch #14 cost=0.020548
Epoch #15 cost=0.020357
Epoch #16 cost=0.020167
Epoch #17 cost=0.019965
Epoch #18 cost=0.019801
Epoch #19 cost=0.019608
Epoch #20 cost=0.019433
Epoch #21 cost=0.019254
Epoch #22 cost=0.019096
Epoch #23 cost=0.018913
Epoch #24 cost=0.018749
Epoch #25 cost=0.018585
Epoch #26 cost=0.018414
Epoch #27 cost=0.018271
Epoch #28 cost=0.018121
Epoch #29 cost=0.018002
Epoch #30 cost=0.017844
